id_entry_id,num_candle,entry_type,entry_type_account,entry_number_candle,entry_condition,entry_amount,entry_registration_date,entry_result,sma_30_value,sma_10_value,rsi_value,movement_open_candle,movement_close_candle,movement_high_candle,movement_low_candle,movement_volume_candle
dd5e948974e24871b5c91684416182dc,1,0,0,4,1,2,20240720141629,1,1.091811000000000012969773404,1.09179699999999999526778538,36.00000000000177635683939966,1.091655,1.091765,1.091765,1.091645,0
64811ad8a72f41d4ae9bec91e76d54d8,1,0,0,4,1,2,20240720134437,0,1.091842666666666665046629230,1.091840999999999994862776021,47.43589743589634100293429534,1.091925,1.091815,1.091945,1.091815,0
892c0010bb2c45ef883bc96113671682,1,0,0,4,1,2,20240720134158,0,1.091845333333333334380199631,1.09188400000000001011102313,37.68115942029498527757650553,1.091845,1.091815,1.091865,1.091795,0
707a264c5f2c4d4394743e8c782bd800,1,0,0,4,1,1,20240717112603,1,1.092837999999999998301802861,1.092624499999999976296294335,23.52941176471868769347894636,1.09251,1.092475,1.09252,1.09241,155
a1bfed0627504720b2ac9858ce632c65,1,0,0,4,1,1,20240717112004,1,1.092920833333333341386151005,1.092744499999999985284659942,28.43137254901875415376807023,1.09266,1.09273,1.092755,1.09265,282
6acbc739e4604e7ab4692fd189be6e78,1,0,0,4,1,1,20240717111827,0,1.092938500000000012768452962,1.092772499999999991082688666,25.66371681416346547930002297,1.092665,1.092655,1.0927,1.09261,88
740133f735bd4547bff8c6afe4324da0,1,0,0,4,1,1,20240717111537,1,1.092991333333333351755337996,1.092829999999999990301091657,13.51351351353459883027044427,1.09264,1.09279,1.09283,1.09259,143
de0c2be1d654488d83d4c84b7ff15dff,1,0,0,4,1,1,20240713124818,0,1.079187999999999991729282556,1.079675999999999991274535205,21.87500000002493664996715030,1.079375,1.079385,1.079385,1.079375,0
99b072d04cf04001b4fbb4396cccfa7c,1,0,0,4,1,1,20240713124711,0,1.079153666666666662917369498,1.079701999999999983970155881,32.43243243244702995941799986,1.079365,1.079365,1.079365,1.079365,0
6be48bb6e1c6494e80d5db638f759e86,1,0,0,4,1,1,20240713124216,1,1.078965999999999995454894968,1.07959699999999998443200866,81.15942028986253458029573639,1.079855,1.079855,1.079875,1.079855,0
410bb74d035a4161a1ec91e2ae640bc2,1,0,0,4,1,1,20240713124128,0,1.078927666666666662642626307,1.079543999999999970285102791,82.19178082192030825226036851,1.079805,1.079755,1.079805,1.079755,0
8e82164891fd4df69e4976443c5a0dae,1,0,0,4,1,1,20240713123116,0,1.078676333333333348107885285,1.078767999999999993576693669,90.42553191487979577493110615,1.079195,1.079215,1.079225,1.079195,0
3490ad61fc464ef897873d3d5cc85d05,1,0,0,4,1,1,20240713122535,1,1.078669000000000018542796927,1.07845800000000000551381163,90.90909090912761067850002404,1.078765,1.078745,1.078785,1.078695,0
